time,solar_MW
0008/04/16 11:30,5.802951
0008/04/16 11:35,6.3527
0008/04/16 11:40,6.658108
0008/04/16 11:45,6.642847
0008/04/16 11:50,6.688673
0008/04/16 11:55,6.642847
0008/04/16 12:00,4.917228
0008/04/16 12:05,6.169425
0008/04/16 12:10,5.848768
0008/04/16 12:15,6.642847
0008/04/16 12:20,6.413776
0008/04/16 12:25,6.123639
0008/04/16 12:30,5.955662
0008/04/16 12:35,5.604432
0008/04/16 12:40,6.413776
0008/04/16 12:45,4.779801
0008/04/16 12:50,6.535932
0008/04/16 12:55,5.970941
0008/04/16 13:00,5.986199
0008/04/16 13:05,6.291609
0008/04/16 13:10,6.367965
0008/04/16 13:15,6.032015
0008/04/16 13:20,5.986197
0008/04/16 13:25,6.0931
0008/04/16 13:30,6.322164
0008/04/16 13:35,6.261085
0008/04/16 13:40,6.199972
0008/04/16 13:45,6.138925
0008/04/16 13:50,6.062543
0008/04/16 13:55,5.955652
0008/04/16 14:00,5.89457
0008/04/16 14:05,5.848775
0008/04/16 14:10,5.741869
0008/04/16 14:15,5.680776
0008/04/16 14:20,5.589158
0008/04/16 14:25,5.512802
0008/04/16 14:30,5.421182
0008/04/16 14:35,5.329567
0008/04/16 14:40,5.237918
0008/04/16 14:45,5.1463
0008/04/16 14:50,5.03941
0008/04/16 14:55,4.93251
0008/04/16 15:00,4.840882
0008/04/16 15:05,4.733987
0008/04/16 15:10,4.627081
0008/04/16 15:15,4.504923
0008/04/16 15:20,4.398025
0008/04/16 15:25,4.275857
0008/04/16 15:30,4.168948
0008/04/16 15:35,4.077337
0008/04/16 15:40,3.939893
0008/04/16 15:45,3.817736
0008/04/16 15:50,3.695572
0008/04/16 15:55,3.573384
0008/04/16 16:00,3.451218
0008/04/16 16:05,3.344327
0008/04/16 16:10,3.206891
0008/04/16 16:15,3.084711
0008/04/16 16:20,2.962533
0008/04/16 16:25,2.825114
0008/04/16 16:30,2.702953
0008/04/16 16:35,2.580785
0008/04/16 16:40,2.458619
0008/04/16 16:45,2.336445
0008/04/16 16:50,2.199015
0008/04/16 16:55,2.061568
0008/04/16 17:00,1.924137
0008/04/16 17:05,1.801964
0008/04/16 17:10,1.679804
0008/04/16 17:15,1.542361
0008/04/16 17:20,1.4202
0008/04/16 17:25,1.298013
0008/04/16 17:30,1.145301
0008/04/16 17:35,1.038425
0008/04/16 17:40,0.931521
0008/04/16 17:45,0.824634
0008/04/16 17:50,0.70246
0008/04/16 17:55,0.595559
0008/04/16 18:00,0.488678
0008/04/16 18:05,0.381769
0008/04/16 18:10,0.305416
0008/04/16 18:15,0.198501
0008/04/16 18:20,0.122174
0008/04/16 18:25,0.061078
0008/04/16 18:30,0
0008/04/16 18:35,0
0008/04/16 18:40,0
0008/04/16 18:45,0
0008/04/16 18:50,0
0008/04/16 18:55,0
0008/04/16 19:00,0
0008/04/16 19:05,0
0008/04/16 19:10,0
0008/04/16 19:15,0
0008/04/16 19:20,0
0008/04/16 19:25,0
0008/04/16 19:30,0
0008/04/16 19:35,0
0008/04/16 19:40,0
0008/04/16 19:45,0
0008/04/16 19:50,0
0008/04/16 19:55,0
0008/04/16 20:00,0
0008/04/16 20:05,0
0008/04/16 20:10,0
0008/04/16 20:15,0
0008/04/16 20:20,0
0008/04/16 20:25,0
0008/04/16 20:30,0
0008/04/16 20:35,0
0008/04/16 20:40,0
0008/04/16 20:45,0
0008/04/16 20:50,0
0008/04/16 20:55,0
0008/04/16 21:00,0
0008/04/16 21:05,0
0008/04/16 21:10,0
0008/04/16 21:15,0
0008/04/16 21:20,0
0008/04/16 21:25,0
0008/04/16 21:30,0
0008/04/16 21:35,0
0008/04/16 21:40,0
0008/04/16 21:45,0
0008/04/16 21:50,0
0008/04/16 21:55,0
0008/04/16 22:00,0
0008/04/16 22:05,0
0008/04/16 22:10,0
0008/04/16 22:15,0
0008/04/16 22:20,0
0008/04/16 22:25,0
0008/04/16 22:30,0
0008/04/16 22:35,0
0008/04/16 22:40,0
0008/04/16 22:45,0
0008/04/16 22:50,0
0008/04/16 22:55,0
0008/04/16 23:00,0
0008/04/16 23:05,0
0008/04/16 23:10,0
0008/04/16 23:15,0
0008/04/16 23:20,0
0008/04/16 23:25,0
0008/04/16 23:30,0
0008/04/16 23:35,0
0008/04/16 23:40,0
0008/04/16 23:45,0
0008/04/16 23:50,0
0008/04/16 23:55,0
0008/05/16 00:00,0
0008/05/16 00:05,0
0008/05/16 00:10,0
0008/05/16 00:15,0
0008/05/16 00:20,0
0008/05/16 00:25,0
0008/05/16 00:30,0
0008/05/16 00:35,0
0008/05/16 00:40,0
0008/05/16 00:45,0
0008/05/16 00:50,0
0008/05/16 00:55,0
0008/05/16 01:00,0
0008/05/16 01:05,0
0008/05/16 01:10,0
0008/05/16 01:15,0
0008/05/16 01:20,0
0008/05/16 01:25,0
0008/05/16 01:30,0
0008/05/16 01:35,0
0008/05/16 01:40,0
0008/05/16 01:45,0
0008/05/16 01:50,0
0008/05/16 01:55,0
0008/05/16 02:00,0
0008/05/16 02:05,0
0008/05/16 02:10,0
0008/05/16 02:15,0
0008/05/16 02:20,0
0008/05/16 02:25,0
0008/05/16 02:30,0
0008/05/16 02:35,0
0008/05/16 02:40,0
0008/05/16 02:45,0
0008/05/16 02:50,0
0008/05/16 02:55,0
0008/05/16 03:00,0
0008/05/16 03:05,0
0008/05/16 03:10,0
0008/05/16 03:15,0
0008/05/16 03:20,0
0008/05/16 03:25,0
0008/05/16 03:30,0
0008/05/16 03:35,0
0008/05/16 03:40,0
0008/05/16 03:45,0
0008/05/16 03:50,0
0008/05/16 03:55,0
0008/05/16 04:00,0
0008/05/16 04:05,0
0008/05/16 04:10,0
0008/05/16 04:15,0
0008/05/16 04:20,0
0008/05/16 04:25,0
0008/05/16 04:30,0
0008/05/16 04:35,0
0008/05/16 04:40,0
0008/05/16 04:45,0
0008/05/16 04:50,0
0008/05/16 04:55,0
0008/05/16 05:00,0
0008/05/16 05:05,0
0008/05/16 05:10,0
0008/05/16 05:15,0
0008/05/16 05:20,0
0008/05/16 05:25,0
0008/05/16 05:30,0
0008/05/16 05:35,0
0008/05/16 05:40,0.015271
0008/05/16 05:45,0.030541
0008/05/16 05:50,0.030541
0008/05/16 05:55,0.045818
0008/05/16 06:00,0.167995
0008/05/16 06:05,0.198503
0008/05/16 06:10,0.183251
0008/05/16 06:15,0.198503
0008/05/16 06:20,0.305416
0008/05/16 06:25,0.335947
0008/05/16 06:30,0.44285
0008/05/16 06:35,0.458123
0008/05/16 06:40,0.458123
0008/05/16 06:45,0.397041
0008/05/16 06:50,0.519202
0008/05/16 06:55,0.595555
0008/05/16 07:00,0.519202
0008/05/16 07:05,0.381769
0008/05/16 07:10,0.473413
0008/05/16 07:15,0.519202
0008/05/16 07:20,0.503947
0008/05/16 07:25,0.626109
0008/05/16 07:30,0.717723
0008/05/16 07:35,0.855177
0008/05/16 07:40,1.114772
0008/05/16 07:45,1.206408
0008/05/16 07:50,1.298016
0008/05/16 07:55,1.252217
0008/05/16 08:00,1.236955
0008/05/16 08:05,1.191131
0008/05/16 08:10,0.916254
0008/05/16 08:15,1.801967
0008/05/16 08:20,1.572905
0008/05/16 08:25,1.466009
0008/05/16 08:30,2.15319
0008/05/16 08:35,2.366982
0008/05/16 08:40,2.962536
0008/05/16 08:45,2.886206
0008/05/16 08:50,2.443352
0008/05/16 08:55,2.046309
0008/05/16 09:00,2.031031
0008/05/16 09:05,2.336445
0008/05/16 09:10,3.038921
0008/05/16 09:15,3.390141
0008/05/16 09:20,3.222169
0008/05/16 09:25,3.008374
0008/05/16 09:30,3.237446
0008/05/16 09:35,2.534971
0008/05/16 09:40,2.672411
0008/05/16 09:45,2.809851
0008/05/16 09:50,3.099983
0008/05/16 09:55,2.947283
0008/05/16 10:00,3.084712
0008/05/16 10:05,3.573398
0008/05/16 10:10,3.756645
0008/05/16 10:15,3.939898
0008/05/16 10:20,3.787181
0008/05/16 10:25,4.718704
0008/05/16 10:30,3.726102
0008/05/16 10:35,4.306407
0008/05/16 10:40,3.374887
0008/05/16 10:45,3.023643
0008/05/16 10:50,3.710854
0008/05/16 10:55,4.764521
0008/05/16 11:00,3.466506
0008/05/16 11:05,4.581253
0008/05/16 11:10,3.726104
0008/05/16 11:15,2.886209
0008/05/16 11:20,3.756641
0008/05/16 11:25,2.870941
0008/05/16 11:30,2.68769
0008/05/16 11:35,2.901498
0008/05/16 11:40,2.901489
0008/05/16 11:45,3.435932
0008/05/16 11:50,3.558122
0008/05/16 11:55,3.817737
0008/05/16 12:00,3.542856
0008/05/16 12:05,4.21476
0008/05/16 12:10,4.230046
0008/05/16 12:15,4.443836
0008/05/16 12:20,3.573388
0008/05/16 12:25,3.588663
0008/05/16 12:30,4.291122
0008/05/16 12:35,3.588667
0008/05/16 12:40,4.733988
0008/05/16 12:45,3.680276
0008/05/16 12:50,4.688167
0008/05/16 12:55,2.748775
0008/05/16 13:00,4.932508
0008/05/16 13:05,6.551212
0008/05/16 13:10,4.688167
0008/05/16 13:15,5.482257
0008/05/16 13:20,4.657634
0008/05/16 13:25,5.696061
0008/05/16 13:30,5.757125
0008/05/16 13:35,6.261079
0008/05/16 13:40,6.199971
0008/05/16 13:45,6.138924
0008/05/16 13:50,6.062543
0008/05/16 13:55,4.550756
0008/05/16 14:00,5.634973
0008/05/16 14:05,5.74187
0008/05/16 14:10,5.757125
0008/05/16 14:15,5.680775
0008/05/16 14:20,5.100483
0008/05/16 14:25,5.100483
0008/05/16 14:30,4.764519
0008/05/16 14:35,5.100475
0008/05/16 14:40,5.237917
0008/05/16 14:45,5.039408
0008/05/16 14:50,4.092595
0008/05/16 14:55,4.13841
0008/05/16 15:00,4.504927
0008/05/16 15:05,2.993092
0008/05/16 15:10,4.245295
0008/05/16 15:15,4.489649
0008/05/16 15:20,4.382748
0008/05/16 15:25,4.123144
0008/05/16 15:30,4.077343
0008/05/16 15:35,3.832998
0008/05/16 15:40,3.939902
0008/05/16 15:45,3.802468
0008/05/16 15:50,3.60393
0008/05/16 15:55,3.099978
0008/05/16 16:00,2.458618
0008/05/16 16:05,2.916742
0008/05/16 16:10,2.4128
0008/05/16 16:15,1.343836
0008/05/16 16:20,2.870934
0008/05/16 16:25,2.565526
0008/05/16 16:30,2.107375
0008/05/16 16:35,2.504429
0008/05/16 16:40,2.443354
0008/05/16 16:45,2.305906
0008/05/16 16:50,1.954671
0008/05/16 16:55,1.55763
0008/05/16 17:00,1.282775
0008/05/16 17:05,1.756176
0008/05/16 17:10,1.649255
0008/05/16 17:15,1.481255
0008/05/16 17:20,1.114777
0008/05/16 17:25,0.885705
0008/05/16 17:30,1.130046
0008/05/16 17:35,1.038428
0008/05/16 17:40,0.916254
0008/05/16 17:45,0.80937
0008/05/16 17:50,0.702456
0008/05/16 17:55,0.59555
0008/05/16 18:00,0.488678
0008/05/16 18:05,0.381763
0008/05/16 18:10,0.274879
0008/05/16 18:15,0.198505
0008/05/16 18:20,0.122182
0008/05/16 18:25,0.045815
0008/05/16 18:30,0
0008/05/16 18:35,0
0008/05/16 18:40,0
0008/05/16 18:45,0
0008/05/16 18:50,0
0008/05/16 18:55,0
0008/05/16 19:00,0
0008/05/16 19:05,0
0008/05/16 19:10,0
0008/05/16 19:15,0
0008/05/16 19:20,0
0008/05/16 19:25,0
0008/05/16 19:30,0
0008/05/16 19:35,0
0008/05/16 19:40,0
0008/05/16 19:45,0
0008/05/16 19:50,0
0008/05/16 19:55,0
0008/05/16 20:00,0
0008/05/16 20:05,0
0008/05/16 20:10,0
0008/05/16 20:15,0
0008/05/16 20:20,0
0008/05/16 20:25,0
0008/05/16 20:30,0
0008/05/16 20:35,0
0008/05/16 20:40,0
0008/05/16 20:45,0
0008/05/16 20:50,0
0008/05/16 20:55,0
0008/05/16 21:00,0
0008/05/16 21:05,0
0008/05/16 21:10,0
0008/05/16 21:15,0
0008/05/16 21:20,0
0008/05/16 21:25,0
0008/05/16 21:30,0
0008/05/16 21:35,0
0008/05/16 21:40,0
0008/05/16 21:45,0
0008/05/16 21:50,0
0008/05/16 21:55,0
0008/05/16 22:00,0
0008/05/16 22:05,0
0008/05/16 22:10,0
0008/05/16 22:15,0
0008/05/16 22:20,0
0008/05/16 22:25,0
0008/05/16 22:30,0
0008/05/16 22:35,0
0008/05/16 22:40,0
0008/05/16 22:45,0
0008/05/16 22:50,0
0008/05/16 22:55,0
0008/05/16 23:00,0
0008/05/16 23:05,0
0008/05/16 23:10,0
0008/05/16 23:15,0
0008/05/16 23:20,0
0008/05/16 23:25,0
0008/05/16 23:30,0
0008/05/16 23:35,0
0008/05/16 23:40,0
0008/05/16 23:45,0
0008/05/16 23:50,0
0008/05/16 23:55,0
